Date,close,t,t2
11/25/11,1158.67,1,734469
11/28/11,1192.55,2,734470
11/29/11,1195.1899,3,734471
11/30/11,1246.96,4,734472
12/1/11,1244.58,5,734473
12/2/11,1244.28,6,734474
12/5/11,1257.08,7,734475
12/6/11,1258.47,8,734476
12/7/11,1261.01,9,734477
12/8/11,1234.35,10,734478
12/9/11,1255.1899,11,734479
12/12/11,1236.47,12,734480
12/13/11,1225.73,13,734481
12/14/11,1211.8199,14,734482
12/15/11,1215.75,15,734483
12/16/11,1219.66,16,734484
12/19/11,1205.35,17,734485
12/20/11,1241.3,18,734486
12/21/11,1243.72,19,734487
12/22/11,1254,20,734488
12/23/11,1265.33,21,734489
12/27/11,1265.4301,22,734490
12/28/11,1249.64,23,734491
12/29/11,1263.02,24,734492
12/30/11,1257.6,25,734493
1/3/12,1277.0601,26,734494
1/4/12,1277.3,27,734495
1/5/12,1281.0601,28,734496
1/6/12,1277.8101,29,734497
1/9/12,1280.7,30,734498
1/10/12,1292.08,31,734499
1/11/12,1292.48,32,734500
1/12/12,1295.5,33,734501
1/13/12,1289.09,34,734502
1/17/12,1293.67,35,734503
1/18/12,1308.04,36,734504
1/19/12,1314.5,37,734505
1/20/12,1315.38,38,734506
1/23/12,1316,39,734507
1/24/12,1314.65,40,734508
1/25/12,1326.05,41,734509
1/26/12,1318.4301,42,734510
1/27/12,1316.33,43,734511
1/30/12,1313.01,44,734512
1/31/12,1312.41,45,734513
2/1/12,1324.09,46,734514
2/2/12,1325.54,47,734515
2/3/12,1344.9,48,734516
2/6/12,1344.33,49,734517
2/7/12,1347.05,50,734518
2/8/12,1349.96,51,734519
2/9/12,1351.95,52,734520
2/10/12,1342.64,53,734521
2/13/12,1351.77,54,734522
2/14/12,1350.5,55,734523
2/15/12,1343.23,56,734524
2/16/12,1358.04,57,734525
2/17/12,1361.23,58,734526
2/21/12,1362.21,59,734527
2/22/12,1357.66,60,734528
2/23/12,1363.46,61,734529
2/24/12,1365.74,62,734530
2/27/12,1367.59,63,734531
2/28/12,1372.1801,64,734532
2/29/12,1365.6801,65,734533
3/1/12,1374.09,66,734534
3/2/12,1369.63,67,734535
3/5/12,1364.33,68,734536
3/6/12,1343.36,69,734537
3/7/12,1352.63,70,734538
3/8/12,1365.91,71,734539
3/9/12,1370.87,72,734540
3/12/12,1371.09,73,734541
3/13/12,1395.95,74,734542
3/14/12,1394.28,75,734543
3/15/12,1402.6,76,734544
3/16/12,1404.17,77,734545
3/19/12,1409.75,78,734546
3/20/12,1405.52,79,734547
3/21/12,1402.89,80,734548
3/22/12,1392.78,81,734549
3/23/12,1397.11,82,734550
3/26/12,1416.51,83,734551
3/27/12,1412.52,84,734552
3/28/12,1405.54,85,734553
3/29/12,1403.28,86,734554
3/30/12,1408.47,87,734555
4/2/12,1419.04,88,734556
4/3/12,1413.38,89,734557
4/4/12,1398.96,90,734558
4/5/12,1398.08,91,734559
4/9/12,1382.2,92,734560
4/10/12,1358.59,93,734561
4/11/12,1368.71,94,734562
4/12/12,1387.5699,95,734563
4/13/12,1370.26,96,734564
4/16/12,1369.5699,97,734565
4/17/12,1390.78,98,734566
4/18/12,1385.14,99,734567
4/19/12,1376.92,100,734568
4/20/12,1378.53,101,734569
4/23/12,1366.9399,102,734570
4/24/12,1371.97,103,734571
4/25/12,1390.6899,104,734572
4/26/12,1399.98,105,734573
4/27/12,1403.36,106,734574
4/30/12,1397.91,107,734575
5/1/12,1405.8199,108,734576
5/2/12,1402.3101,109,734577
5/3/12,1391.5699,110,734578
5/4/12,1369.1,111,734579
5/7/12,1369.58,112,734580
5/8/12,1363.72,113,734581
5/9/12,1354.58,114,734582
