Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2023-09-23 12:42,245.348,0.010,0,0,0,0,v
2023-09-23 12:48,245.354,0.007,0,0,0,0,v
2023-09-23 12:54,245.341,0.007,0,0,0,0,v
2023-09-23 13:00,245.328,0.020,0,0,0,0,v
2023-09-23 13:06,245.318,0.016,0,0,0,0,v
2023-09-23 13:12,245.315,0.010,0,0,0,0,v
2023-09-23 13:18,245.325,0.016,0,0,0,0,v
2023-09-23 13:24,245.328,0.010,0,0,0,0,v
2023-09-23 13:30,245.338,0.010,0,0,0,0,v
2023-09-23 13:36,245.322,0.007,0,0,0,0,v
2023-09-23 13:42,245.335,0.007,0,0,0,0,v
2023-09-23 13:48,245.331,0.003,0,0,0,0,v
2023-09-23 13:54,245.338,0.003,0,0,0,0,v
2023-09-23 14:00,245.331,0.003,0,0,0,0,v
2023-09-23 14:06,245.341,0.007,0,0,0,0,v
2023-09-23 14:12,245.335,0.007,0,0,0,0,v
2023-09-23 14:18,245.328,0.007,0,0,0,0,v
2023-09-23 14:24,245.325,0.007,0,0,0,0,v
2023-09-23 14:30,245.308,0.007,0,0,0,0,v
2023-09-23 14:36,245.305,0.007,0,0,0,0,v
2023-09-23 14:42,245.308,0.007,0,0,0,0,v
2023-09-23 14:48,245.325,0.010,0,0,0,0,v
2023-09-23 14:54,245.312,0.007,0,0,0,0,v
2023-09-23 15:00,245.315,0.007,0,0,0,0,v
2023-09-23 15:06,245.308,0.020,0,0,0,0,v
2023-09-23 15:12,245.285,0.007,0,0,0,0,v
2023-09-23 15:18,245.282,0.016,0,0,0,0,v
2023-09-23 15:24,245.282,0.007,0,0,0,0,v
2023-09-23 15:30,245.279,0.013,0,0,0,0,v
2023-09-23 15:36,245.276,0.023,0,0,0,0,v
2023-09-23 15:42,245.276,0.020,0,0,0,0,v
2023-09-23 15:48,245.285,0.013,0,0,0,0,v
2023-09-23 15:54,245.259,0.075,0,0,0,0,v
2023-09-23 16:00,245.253,0.020,0,0,0,0,v
2023-09-23 16:06,245.249,0.013,0,0,0,0,v
2023-09-23 16:12,245.269,0.013,0,0,0,0,v
2023-09-23 16:18,245.266,0.010,0,0,0,0,v
2023-09-23 16:24,245.272,0.013,0,0,0,0,v
2023-09-23 16:30,245.253,0.020,0,0,0,0,v
2023-09-23 16:36,245.249,0.016,0,0,0,0,v
2023-09-23 16:42,245.243,0.023,0,0,0,0,v
2023-09-23 16:48,245.220,0.016,0,0,0,0,v
2023-09-23 16:54,245.243,0.013,0,0,0,0,v
2023-09-23 17:00,245.236,0.013,0,0,0,0,v
2023-09-23 17:06,245.243,0.013,0,0,0,0,v
2023-09-23 17:12,245.259,0.075,0,0,0,0,v
2023-09-23 17:18,245.249,0.020,0,0,0,0,v
2023-09-23 17:24,245.236,0.016,0,0,0,0,v
2023-09-23 17:30,245.256,0.013,0,0,0,0,v
2023-09-23 17:36,245.276,0.010,0,0,0,0,v
2023-09-23 17:42,245.299,0.013,0,0,0,0,v
2023-09-23 17:48,245.299,0.013,0,0,0,0,v
2023-09-23 17:54,245.302,0.013,0,0,0,0,v
2023-09-23 18:00,245.305,0.020,0,0,0,0,v
2023-09-23 18:06,245.289,0.023,0,0,0,0,v
2023-09-23 18:12,245.282,0.020,0,0,0,0,v
2023-09-23 18:18,245.279,0.026,0,0,0,0,v
2023-09-23 18:24,245.289,0.023,0,0,0,0,v
2023-09-23 18:30,245.299,0.000,0,0,0,0,v
2023-09-23 18:36,245.289,0.023,0,0,0,0,v
2023-09-23 18:42,245.292,0.026,0,0,0,0,v
2023-09-23 18:48,245.279,0.026,0,0,0,0,v
2023-09-23 18:54,245.272,0.026,0,0,0,0,v
